Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
8,"110, 205, 215, 234, 306, 330, 510, 515",1,07046 002 01737
6,"110, 205, 215, 234, 310, 331",1,08612 006F23629
9,"110, 205, 215, 234, 311, 312, 330, 331, 515",1,02733B01WX00052
8,"110, 205, 215, 234, 311, 330, 331, 510",1,08321 039 02728
7,"110, 205, 215, 234, 330, 331, 510",1,08064 039 03382
8,"110, 205, 215, 306, 311, 331, 510, 515",1,00800A010 01919
7,"110, 205, 220, 234, 330, 510, 515",1,04173 027 01422
8,"110, 205, 215, 306, 330, 332, 510, 515",1,671407C02902590
5,"110, 205, 215, 306, 331",1,07418 02W 08284
6,"110, 205, 215, 330, 331, 510",1,13491 039 00004
7,"110, 205, 215, 330, 331, 510, 515",1,07372 041 06254
5,"110, 205, 215, 330, 510",1,04660A009 08501
4,"110, 205, 215, 331",1,08062 039 03260
5,"110, 205, 215, 331, 521",1,04847A341 03975
5,"110, 216, 225, 228, 331",1,011161060401080
5,"110, 216, 228, 235, 510",1,11787F000
5,"110, 216, 228, 306, 331",1,11128 020300060
9,"204, 215, 220, 234, 306, 310, 330, 510, 515",1,12071A71401 069
6,"202, 215, 228, 330, 510, 515",1,11727 000
8,"202, 215, 234, 306, 310, 330, 510, 515",1,20049 420 00364
7,"202, 215, 234, 306, 330, 510, 515",1,16319 005 12572
10,"202, 219, 220, 225, 231, 306, 310, 330, 510, 515",1,39C29A407800703
9,"202, 219, 220, 231, 306, 310, 330, 510, 515",1,39C448439002805
9,"202, 219, 225, 231, 306, 310, 330, 510, 515",1,39C155188100042
6,"202, 219, 310, 330, 510, 515",1,22163 000 00000
6,"204, 215, 234, 330, 510, 515",1,41C13 54401 025
12,"202, 210, 215, 216, 220, 228, 231, 235, 306, 330, 510, 515",1,00360A164 00698
10,"205, 210, 215, 225, 231, 306, 310, 330, 510, 515",1,45C226084600907
7,"205, 210, 215, 234, 306, 310, 331",1,07028B000000032
9,"205, 215, 220, 234, 301, 306, 310, 331, 510",1,17434 02W 02844
9,"205, 215, 220, 234, 306, 310, 330, 510, 515",1,16479 B33C00047
7,"205, 215, 220, 234, 330, 510, 515",1,11634F000
9,"205, 215, 225, 234, 306, 310, 330, 510, 515",1,11C01 001A00087
8,"205, 215, 225, 234, 306, 310, 331, 510",1,20329 021 00159
9,"202, 215, 220, 228, 306, 310, 330, 510, 515",1,06262 000 00006
11,"202, 206, 216, 220, 228, 231, 306, 310, 330, 510, 515",1,12780 003400172
7,"110, 217, 311, 313, 331, 510, 515",1,08105 981 00254
13,"120, 152, 162, 210, 215, 225, 306, 310, 311, 313, 330, 510, 515",1,22130 000 00582
8,"110, 219, 225, 228, 231, 306, 330, 510",1,06661 001F23366
4,"110, 225, 228, 234",1,11793 000
5,"110, 225, 234, 306, 331",1,08222S001 23365
6,"110, 225, 234, 306, 331, 510",1,08222N001 23365
4,"110, 234, 331, 510",1,08219 001F23573
5,"111, 210, 215, 332, 510",1,20865 000 00000
12,"120, 152, 162, 205, 215, 220, 234, 304, 311, 313, 330, 515",1,11883 000
8,"120, 152, 162, 215, 311, 330, 510, 515",1,19C152  16  284
8,"202, 205, 216, 220, 228, 306, 331, 510",1,04585 191 01683
10,"135, 156, 210, 215, 220, 306, 310, 330, 510, 515",1,39C386367000008
10,"143, 154, 205, 215, 233, 301, 310, 330, 331, 515",1,18960 009 16751
8,"143, 155, 205, 215, 234, 310, 331, 510",1,20198 009 13386
6,"144, 204, 215, 220, 234, 331",1,19C469002201332
2,"144, 215",1,0M274 063 01909
3,"144, 215, 220",1,470202000000000
6,"202, 205, 215, 234, 331, 510",1,20667 000 00000
8,"215, 225, 301, 306, 310, 330, 510, 515",1,25B112000000000
7,"215, 225, 301, 310, 330, 510, 515",1,671390A69000870
8,"215, 225, 306, 310, 330, 331, 510, 515",1,19C524395-00.07
5,"215, 225, 306, 310, 331",1,20461 090200050
7,"219, 225, 231, 306, 310, 330, 515",1,09749 672 00046
6,"219, 225, 231, 306, 310, 331",1,20889 000 00000
6,"219, 225, 306, 310, 330, 515",1,22726_903_00000
5,"219, 225, 310, 331, 510",1,21520 542 00003
4,"219, 225, 310, 332",1,41C26 10900 000
4,"219, 225, 310, 510",1,20464 307500000
5,"219, 225, 310, 510, 515",1,02933AB28 00315
4,"219, 225, 310, 515",1,21011 000 00000
4,"219, 225, 331, 510",1,21623 411 01757
9,"219, 228, 231, 235, 306, 310, 330, 510, 515",1,12423A001400168
7,"219, 228, 231, 306, 310, 331, 510",1,53C014000600372
6,"219, 228, 231, 306, 310, 510",1,09951 000900951
7,"219, 228, 231, 306, 330, 510, 515",1,11988 020L00374
6,"219, 228, 235, 306, 331, 510",1,09048 181 02964
6,"219, 228, 306, 330, 510, 515",1,11939 073700045
5,"219, 228, 306, 332, 510",1,53C006065500013
4,"219, 228, 306, 510",1,12857 075600022
7,"219, 225, 231, 306, 310, 330, 510",1,01C514919 00005
6,"219, 225, 228, 310, 330, 515",1,12365 012700104
6,"219, 225, 228, 306, 310, 510",1,12782 031200028
4,"216, 235, 331, 510",1,03863A020 05449
5,"216, 228, 306, 330, 510",1,35C220125700110
5,"216, 228, 306, 331, 510",1,12260 000200306
6,"216, 228, 310, 330, 510, 515",1,06322 000   125
4,"216, 228, 330, 510",1,35C122062400010
7,"216, 231, 306, 310, 330, 510, 515",1,03523A442 00086
6,"216, 231, 306, 330, 510, 515",1,09538 431 03278
5,"216, 235, 330, 510, 515",1,11C112007A00275
4,"217, 306, 310, 510",1,25B47 000
7,"219, 225, 228, 306, 310, 331, 510",1,12634A041200061
4,"217, 310, 330, 515",1,51C12 000 00001
3,"217, 330, 515",1,65C69 011300286
6,"218, 306, 312, 330, 510, 515",1,21334 000 00031
8,"219, 225, 228, 231, 306, 310, 331, 510",1,12287A001300696
7,"219, 225, 228, 231, 306, 310, 510",1,12626 041300178
8,"219, 225, 228, 231, 306, 331, 510, 515",1,04037 200 00459
7,"219, 225, 228, 306, 310, 330, 515",1,12381 022300270
5,"219, 228, 310, 331, 510",1,02869 415 01253
4,"219, 228, 310, 332",1,53C141066100240
4,"219, 228, 310, 510",1,12421 001400066
3,"241, 306, 510",1,24047052000741
3,"228, 306, 510",1,12826 076400029
5,"228, 310, 330, 510, 515",1,11827A003 00213
2,"240, 241",1,01386 029 00328
5,"240, 241, 330, 331, 515",1,22048 000 00000
3,"240, 241, 515",1,17390 017 01981
3,"240, 330, 515",1,29CY3 000 00000
5,"241, 306, 330, 510, 515",1,0M229 022 04245
2,"241, 330",1,19701 000 00000
6,"228, 306, 310, 330, 510, 515",1,53B144000000000
5,"241, 330, 332, 510, 515",1,07910 541 00061
1,243,1,59C562073100003
5,"306, 312, 330, 510, 515",1,22704 000 00000
4,"306, 330, 510, 515",1,21405 467000590
3,"306, 331, 510",1,02641A02W 01077
4,"310, 330, 510, 515",1,19634 761 00370
1,331,1,19888 708 00031
4,"228, 306, 332, 510",1,53C004000400864
4,"228, 235, 306, 510",1,11230A100400046
4,"219, 228, 332, 510",1,12718 033300137
4,"220, 241, 332, 510",1,29C10 517 00183
7,"219, 231, 306, 310, 330, 510, 515",1,04936A044 01679
6,"219, 231, 306, 330, 510, 515",1,05017A390 00002
4,"219, 310, 330, 510",1,59C305132500088
4,"219, 330, 510, 515",1,04784A334 01133
5,"220, 241, 330, 510, 515",1,07998 821 00927
4,"220, 241, 330, 515",1,20789 000 00000
3,"220, 241, 331",1,47C204086400141
3,"220, 241, 510",1,23975C120800016
4,"225, 228, 332, 510",1,14046 082400003
2,"220, 243",1,24369 000 00004
5,"220, 306, 330, 510, 515",1,21404 467000580
2,"225, 228",1,07C05 090400070
7,"225, 228, 231, 306, 310, 331, 510",1,12222A001101143
5,"225, 228, 231, 330, 515",1,12795 065200084
6,"225, 228, 306, 330, 510, 515",1,73913 073900137
3,"225, 228, 332",1,53C067661400104
5,"216, 228, 235, 306, 510",1,11882 000
6,"216, 228, 235, 306, 331, 510",1,13344A115900446
6,"216, 228, 235, 306, 330, 515",1,04968 141 00573
5,"215, 228, 234, 330, 515",1,12131A515041235
3,"215, 226, 510",1,03C05 000
7,"215, 227, 234, 306, 310, 331, 510",1,05C06 000 00000
6,"215, 227, 306, 330, 510, 515",1,43B003000000000
5,"215, 228, 234, 306, 330",1,11138A021000200
8,"215, 228, 234, 306, 330, 331, 510, 515",1,BB009 000000000
6,"215, 228, 234, 306, 331, 510",1,03826 260 00566
6,"215, 228, 234, 310, 331, 510",1,08909 000 00001
5,"215, 228, 235, 331, 510",1,01720 009F02870
5,"215, 226, 306, 331, 510",1,43B006000000000
5,"215, 228, 306, 331, 510",1,04043 200 00714
5,"215, 228, 306, 332, 510",1,07T10 000 00030
4,"215, 228, 330, 515",1,11798F000
4,"215, 228, 331, 510",1,03190 009 27872
7,"215, 231, 306, 310, 330, 510, 515",1,03851A020 00977
6,"215, 234, 301, 306, 510, 515",1,25T13 000
7,"215, 234, 302, 310, 330, 331, 515",1,18028 007200100
5,"215, 226, 330, 510, 515",1,23B005000000000
6,"215, 226, 306, 310, 331, 510",1,43B005000000000
7,"215, 234, 306, 330, 331, 510, 515",1,09385 071 03101
8,"215, 226, 234, 306, 310, 331, 510, 521",1,06516A035 00057
6,"215, 225, 306, 330, 510, 515",1,67T010117600008
4,"215, 225, 306, 510",1,23841 000 00880
7,"215, 225, 310, 330, 332, 510, 515",1,671238000902350
4,"215, 225, 310, 331",1,11C109018700147
4,"215, 225, 330, 515",1,671218110500000
9,"215, 226, 234, 306, 310, 330, 332, 510, 515",1,671339117500700
7,"215, 226, 234, 306, 310, 330, 510",1,07731AE08 00125
7,"215, 226, 234, 306, 312, 331, 510",1,05351A066 00025
7,"215, 226, 306, 310, 330, 510, 515",1,39C44A503600464
5,"215, 226, 234, 306, 330",1,02404A039 03798
7,"215, 226, 234, 306, 330, 331, 510",1,039C11174400098
8,"215, 226, 234, 306, 330, 331, 510, 515",1,16061 E20202266
6,"215, 226, 234, 306, 332, 510",1,12668 066200062
6,"215, 226, 234, 310, 330, 515",1,11783 000
6,"215, 226, 234, 330, 510, 515",1,16281 031 00200
8,"215, 226, 306, 310, 330, 331, 510, 515",1,53B001000000000
6,"215, 234, 306, 310, 330, 515",1,39C524503700008
5,"215, 234, 330, 510, 515",1,007C15101000024
6,"216, 228, 235, 304, 330, 515",1,11845 000
8,"216, 219, 228, 310, 330, 331, 510, 515",1,01042 005 15189
10,"216, 219, 225, 228, 231, 235, 306, 330, 510, 515",1,03156A102 06903
9,"216, 219, 225, 228, 231, 306, 310, 332, 510",1,12872 084500152
8,"216, 219, 225, 228, 235, 306, 331, 510",1,09050 181 03114
9,"216, 219, 225, 228, 306, 330, 331, 510, 515",1,04285 211 02045
8,"216, 219, 225, 228, 310, 330, 510, 515",1,12491 052500080
7,"216, 219, 225, 310, 330, 510, 515",1,04394A450 00653
8,"216, 219, 228, 231, 306, 310, 332, 510",1,12384 022300070
6,"216, 219, 228, 330, 510, 515",1,12940 630 00329
2,"215, 331",1,21079 000 00000
9,"216, 225, 228, 231, 235, 306, 330, 510, 515",1,02742A140 00721
8,"216, 225, 228, 235, 306, 331, 510, 515",1,03108 102 02543
5,"216, 225, 228, 330, 515",1,71C03 000
5,"216, 225, 228, 331, 510",1,03865A020 05671
6,"216, 225, 306, 330, 510, 515",1,03936A431 01541
8,"216, 228, 231, 235, 306, 330, 510, 515",1,03151 102 06522
7,"216, 228, 231, 306, 330, 510, 515",1,12675 070200064
11,"216, 219, 225, 228, 231, 235, 306, 310, 330, 510, 515",1,12301 021200177
5,"215, 330, 331, 510, 515",1,09C47AD13 00230
6,"215, 241, 310, 330, 510, 515",1,29C147778 00521
6,"215, 306, 310, 330, 331, 515",1,09570 866 00070
5,"215, 241, 310, 331, 510",1,18110 353005013
3,"215, 300, 310",1,18206 000 00000
5,"215, 301, 310, 330, 521",1,22730 000 00046
4,"215, 302, 310, 331",1,20649 041 01940
5,"215, 302, 310, 331, 510",1,17370 009 06499
5,"215, 304, 310, 330, 515",1,16394 237 00189
3,"215, 306, 310",1,23842 000 00980
6,"215, 306, 310, 331, 510, 521",1,02052A069 00303
5,"215, 310, 330, 331, 515",1,19927 004 26565
5,"215, 306, 330, 331, 510",1,00781 041 02451
6,"215, 306, 330, 331, 510, 515",1,09301 774 00582
4,"215, 306, 330, 515",1,17967 009 27380
4,"215, 306, 332, 510",1,21561 000 00000
4,"215, 306, 333, 510",1,07T23A000 00129
3,"215, 310, 330",1,16798 C52100023
6,"215, 310, 330, 331, 510, 515",1,18526 000 00000
9,"110, 205, 215, 234, 306, 311, 313, 331, 510",1,62002 000 00082
7,"110, 205, 215, 234, 306, 311, 313",1,07368 036 00119
8,"110, 205, 215, 234, 302, 331, 510, 521",1,07459 002F06392
9,"104, 204, 210, 215, 234, 306, 310, 331, 510",1,39C173197500002
6,"54, 107, 152, 215, 330, 515",1,24189 000 00002
9,"54, 135, 152, 156, 215, 306, 332, 510, 515",1,39B164000000010
10,"54, 146, 152, 215, 306, 310, 313, 330, 510, 515",1,18529 000 00011
11,"54, 202, 215, 216, 220, 228, 235, 306, 331, 332, 510",1,47C25 085 00000
10,"54, 202, 216, 220, 225, 228, 235, 306, 332, 510",1,47C35 518
7,"54, 202, 216, 228, 235, 332, 510",1,03C27 000000000
9,"54, 206, 216, 220, 228, 235, 306, 332, 510",1,47C14 040 00000
8,"54, 206, 216, 220, 235, 306, 332, 510",1,47C02 003 00000
6,"54, 206, 216, 235, 330, 510",1,35C143083000620
10,"54, 210, 215, 220, 228, 235, 306, 330, 510, 515",1,14400 000 00240
8,"54, 210, 215, 231, 306, 330, 510, 515",1,671366057100490
4,"54, 215, 332, 510",1,14C70 210 00115
7,"54, 216, 228, 235, 330, 510, 515",1,15C12 136 00040
7,"54, 216, 228, 241, 306, 332, 510",1,03C08 000 00000
7,"54, 216, 228, 306, 330, 510, 515",1,14462 000 00250
8,"54, 219, 225, 231, 306, 330, 510, 515",1,671358A68400340
11,"16, 110, 216, 219, 225, 228, 231, 235, 306, 331, 510",1,03043A160 02080
5,"38, 234, 306, 331, 510",1,08117 001C24214
5,"38, 225, 302, 331, 515",1,25128D0025B128D
8,"38, 225, 231, 304, 310, 330, 510, 515",1,24156 000 00000
4,"38, 215, 330, 510",1,06924 002 04027
6,"38, 215, 306, 310, 330, 515",1,24142 481 00026
5,"38, 215, 306, 310, 331",1,24248 621 00325
6,"38, 215, 306, 310, 332, 510",1,24002 000 00001
7,"38, 215, 306, 316, 330, 510, 515",1,24376 405200215
7,"38, 215, 306, 330, 331, 510, 515",1,00365A001F24486
5,"38, 215, 306, 330, 515",1,24065 000 00239
5,"38, 215, 306, 331, 515",1,06945 002 01782
3,"38, 215, 331",1,19115 026 04260
5,"38, 219, 225, 310, 331",1,24064 000 00875
4,"38, 215, 331, 521",1,19156 002 08478
3,"38, 215, 332",1,20470 000 00000
3,"38, 215, 510",1,09254A061C00209
7,"38, 216, 228, 235, 330, 510, 515",1,671406C02902610
6,"38, 216, 231, 306, 331, 510",1,04473 211 00543
3,"38, 216, 330",1,24372 773 00120
6,"38, 218, 306, 330, 510, 515",1,24305 089 00270
4,"54, 228, 306, 510",1,14516 000
6,"104, 109, 215, 220, 310, 331",1,20892 000 00000
9,"104, 110, 155, 205, 215, 234, 300, 314, 331",1,18596 064 01494
8,"104, 155, 205, 215, 234, 314, 330, 521",1,16447 070 00485
10,"104, 155, 205, 215, 234, 302, 311, 330, 331, 515",1,13516 002 00582
9,"104, 155, 205, 215, 234, 302, 312, 330, 515",1,07582A001C28950
8,"104, 155, 205, 215, 234, 302, 314, 330",1,13520 064 02112
8,"104, 155, 205, 215, 234, 302, 314, 331",1,13516G064C02119
8,"104, 155, 205, 215, 234, 303, 311, 330",1,13512 059 00518
9,"104, 155, 205, 215, 234, 306, 310, 330, 515",1,17355 161 01541
9,"104, 155, 205, 215, 234, 306, 312, 330, 515",1,09667 064 02327
7,"104, 155, 205, 215, 234, 314, 331",1,17064 001C29705
11,"104, 155, 205, 215, 234, 302, 310, 314, 315, 330, 515",1,09713 064 01587
8,"104, 155, 205, 215, 234, 314, 331, 510",1,18480 001C29225
6,"104, 155, 205, 215, 234, 331",1,08995C01EX00592
10,"104, 155, 205, 215, 301, 311, 313, 314, 331, 510",1,13516A064 02159
8,"104, 155, 215, 300, 301, 314, 330, 515",1,18207 047 07066
9,"104, 155, 215, 300, 302, 306, 314, 331, 510",1,16185 029 00527
7,"104, 155, 215, 300, 306, 310, 331",1,17212 002 01405
6,"104, 155, 215, 302, 314, 331",1,13516F064C02138
9,"104, 155, 205, 215, 234, 302, 310, 330, 515",1,17208 002 01443
9,"104, 155, 205, 215, 234, 302, 306, 311, 330",1,09623 171C00242
9,"104, 110, 210, 215, 311, 313, 330, 510, 515",1,09515 006 30413
10,"104, 155, 205, 215, 234, 300, 302, 314, 330, 515",1,13527 064 02005
10,"104, 110, 210, 215, 311, 313, 330, 510, 515, 521",1,09515A006 30413
7,"104, 154, 215, 306, 312, 330, 515",1,17323 004 13496
9,"104, 155, 205, 210, 215, 234, 302, 303, 331",1,08392C001C29717
11,"104, 155, 205, 215, 220, 233, 300, 302, 306, 314, 331",1,16188 064 02525
9,"104, 155, 205, 215, 220, 234, 300, 314, 331",1,13516C064C02151
11,"104, 155, 205, 215, 233, 300, 314, 330, 331, 510, 515",1,17329 004 13685
10,"104, 155, 205, 215, 234, 300, 301, 314, 331, 521",1,18097 455Y02773
8,"104, 155, 205, 215, 234, 300, 302, 331",1,16511 02WC00170
9,"104, 155, 205, 215, 234, 302, 306, 310, 331",1,09715 064C01458
9,"104, 155, 205, 215, 234, 300, 303, 314, 331",1,13516D064C02159
11,"104, 155, 205, 215, 234, 300, 306, 314, 330, 510, 515",1,16509 02W 00184
10,"104, 155, 205, 215, 234, 300, 306, 314, 330, 515",1,09666 123 01115
9,"104, 155, 205, 215, 234, 300, 306, 314, 331",1,08199A001C29712
9,"104, 155, 205, 215, 234, 300, 306, 330, 515",1,16510 02W 00174
8,"104, 155, 205, 215, 234, 300, 314, 330",1,13521 064 02087
8,"104, 155, 205, 215, 234, 300, 314, 331",1,18647 047C07083
7,"38, 215, 306, 310, 330, 331, 510",1,13597 014 01967
5,"38, 215, 301, 331, 521",1,20216 001 13652
6,"38, 215, 301, 331, 510, 521",1,20337 001 13200
6,"38, 210, 215, 220, 306, 331",1,03103A103 00002
5,"38, 205, 215, 306, 330",1,09963 001 00080
7,"38, 205, 215, 306, 330, 331, 510",1,04347A007 20328
6,"38, 205, 215, 330, 510, 515",1,04075A062T04237
9,"38, 205, 216, 220, 235, 306, 330, 510, 515",1,02013 160 02720
7,"38, 205, 234, 302, 310, 330, 515",1,09643A004 16053
6,"38, 206, 215, 225, 234, 331",1,07595 001 15835
9,"38, 210, 215, 220, 306, 330, 331, 510, 515",1,03722 022 05598
5,"38, 210, 215, 220, 330",1,61C43    000000
8,"38, 205, 215, 234, 310, 330, 510, 515",1,222195220100001
6,"38, 210, 215, 225, 306, 331",1,09442 890 00029
7,"38, 210, 215, 225, 306, 331, 510",1,08704A069 00992
8,"38, 210, 215, 234, 330, 331, 510, 515",1,01987A053 10436
6,"38, 210, 215, 300, 310, 331",1,BB014 000000000
6,"38, 210, 215, 302, 310, 331",1,BB015 000000000
8,"38, 210, 215, 306, 330, 331, 510, 515",1,01986A035 07413
6,"38, 210, 215, 306, 330, 510",1,43C02 000
8,"38, 205, 215, 234, 330, 331, 510, 515",1,01949 01E 00597
9,"38, 205, 215, 234, 306, 330, 331, 510, 515",1,08048 006 24894
5,"38, 210, 215, 330, 331",1,09778 885100008
9,"38, 205, 215, 226, 234, 306, 330, 515, 521",1,02478C009 23920
9,"38, 205, 215, 220, 234, 306, 331, 510, 521",1,20423 000 00000
7,"38, 205, 215, 220, 234, 331, 510",1,101015101000171
11,"38, 205, 215, 225, 228, 234, 306, 310, 331, 510, 515",1,06713 009 02870
8,"38, 205, 215, 225, 228, 234, 331, 510",1,07480 009 06225
7,"38, 205, 215, 225, 234, 306, 331",1,01338A260 01672
8,"38, 205, 215, 225, 234, 306, 331, 510",1,07804N001 12003
7,"38, 205, 215, 225, 234, 331, 510",1,07594A001 15928
6,"38, 205, 215, 228, 306, 330",1,06206A015 00000
9,"38, 205, 215, 234, 306, 310, 331, 510, 521",1,21434 200 04043
4,"38, 205, 215, 234",1,11070A000 00001
8,"38, 205, 215, 234, 300, 306, 310, 331",1,R7026A059 00182
11,"38, 205, 215, 234, 301, 302, 306, 310, 330, 510, 515",1,07035C000000000
7,"38, 205, 215, 234, 301, 331, 510",1,07584A001 16445
8,"38, 205, 215, 234, 302, 306, 331, 510",1,09375 006 33811
8,"38, 205, 215, 234, 305, 306, 331, 510",1,25B01 000 00136
10,"38, 205, 215, 234, 306, 310, 330, 331, 510, 515",1,07031A068 00225
7,"38, 210, 215, 306, 330, 510, 515",1,09643BE16900103
7,"38, 210, 215, 330, 331, 510, 515",1,00420A01W 07997
4,"38, 215, 301, 331",1,25B58 000
9,"38, 215, 228, 234, 306, 330, 331, 510, 515",1,07684 037 04835
8,"38, 215, 225, 234, 306, 331, 510, 521",1,20214 001 13147
8,"38, 215, 225, 234, 310, 330, 510, 515",1,23059 000 00000
8,"38, 215, 225, 306, 310, 330, 510, 515",1,T24065 00000239
8,"38, 215, 226, 234, 301, 306, 330, 515",1,39C395381000147
6,"38, 215, 226, 234, 306, 331",1,14137A452 00123
7,"38, 215, 227, 234, 306, 330, 515",1,43B007000000000
6,"38, 215, 227, 234, 330, 515",1,470212000
7,"38, 215, 228, 234, 330, 510, 515",1,BB005 083800034
9,"38, 215, 225, 234, 306, 330, 331, 510, 515",1,04141A009 12161
6,"38, 215, 228, 234, 330, 515",1,00736A102 09096
6,"38, 215, 228, 234, 331, 510",1,04267A210 00245
7,"38, 215, 228, 306, 330, 510, 515",1,04953A102 07509
6,"38, 215, 228, 306, 331, 510",1,09464 932 00201
6,"38, 215, 234, 330, 510, 515",1,470612000 00008
7,"38, 215, 301, 306, 310, 331, 510",1,24051 000 00119
7,"38, 215, 301, 310, 330, 510, 515",1,23954 229 00568
7,"38, 215, 225, 234, 306, 330, 515",1,18812 705 00000
7,"38, 215, 225, 234, 306, 310, 331",1,18350 001 23985
4,"38, 210, 215, 510",1,15C29 375 00301
5,"38, 215, 220, 310, 332",1,29C261000 00129
6,"38, 210, 217, 220, 331, 510",1,55C012002500370
5,"38, 210, 217, 220, 510",1,55C004062100325
5,"38, 210, 217, 331, 510",1,55C010052800220
8,"38, 213, 217, 306, 310, 330, 510, 515",1,65C33 000 00180
7,"38, 213, 217, 306, 331, 334, 510",1,65C05 010 00834
3,"38, 215, 220",1,06530A001 07571
6,"38, 215, 220, 306, 331, 510",1,59C064137500340
6,"38, 215, 220, 330, 510, 515",1,22351 000 00000
7,"38, 215, 225, 234, 301, 331, 515",1,24020 060401080
5,"38, 215, 220, 331, 510",1,31C97 530
10,"38, 215, 225, 226, 234, 306, 310, 330, 510, 515",1,19C263  48  767
8,"38, 215, 225, 226, 234, 306, 330, 515",1,671211021000420
8,"38, 215, 225, 227, 234, 306, 331, 510",1,06008A028
7,"38, 215, 225, 228, 234, 306, 331",1,39C526507000533
9,"38, 215, 225, 231, 306, 310, 330, 510, 515",1,39C564523300002
7,"38, 215, 225, 234, 301, 330, 510",1,24011 000 00004
7,"104, 155, 215, 306, 312, 330, 515",1,13528A064C01963
6,"104, 205, 215, 220, 303, 331",1,00574F009 04561
10,"110, 205, 215, 234, 302, 311, 313, 330, 510, 515",1,05208 290 00830
8,"104, 205, 215, 225, 234, 310, 331, 510",1,11755F404 00010
6,"109, 215, 301, 310, 331, 510",1,22071 002600231
6,"109, 215, 302, 306, 331, 510",1,17970 141 00756
6,"109, 215, 302, 310, 331, 510",1,19973 068700014
7,"109, 215, 304, 306, 310, 330, 515",1,49B01T000000000
7,"109, 215, 304, 306, 310, 331, 510",1,20614 000 00000
7,"109, 215, 306, 310, 330, 331, 515",1,20995 000 00000
8,"109, 215, 306, 310, 330, 332, 510, 515",1,11952 090400818
6,"109, 215, 306, 310, 330, 515",1,40002 000 00027
5,"109, 215, 306, 310, 331",1,17992 863 00200
5,"109, 215, 310, 331, 510",1,13701A108300527
5,"109, 215, 310, 332, 510",1,12072 71402 244
4,"109, 215, 330, 515",1,16255 042 01650
4,"109, 215, 331, 510",1,18029 020500002
4,"109, 219, 225, 310",1,21012 000 00000
13,"110, 116, 155, 205, 215, 234, 302, 306, 311, 330, 334, 510, 515",1,01629 002 19806
12,"110, 116, 155, 205, 215, 234, 306, 311, 330, 331, 510, 515",1,02532 01W 00921
10,"110, 116, 155, 205, 215, 234, 306, 331, 510, 521",1,01628 002 18370
5,"109, 215, 301, 310, 331",1,22044 007A00254
6,"109, 215, 301, 310, 330, 515",1,25B55 000
6,"109, 215, 301, 302, 331, 510",1,51C37 000000000
8,"109, 215, 220, 306, 310, 330, 510, 515",1,11961 090300357
7,"109, 205, 215, 310, 330, 510, 515",1,15711A114 00000
10,"109, 205, 216, 228, 234, 306, 310, 330, 510, 515",1,12150 61101 001
9,"109, 210, 215, 225, 306, 310, 330, 510, 515",1,19970 001700885
8,"109, 210, 215, 225, 306, 310, 330, 515",1,12169B60001 001
7,"109, 210, 215, 225, 306, 331, 510",1,18832 000 00010
9,"109, 210, 215, 226, 234, 306, 310, 331, 510",1,57C23 704 00001
6,"109, 210, 215, 306, 330, 510",1,00806A015 09300
7,"109, 215, 220, 306, 310, 332, 510",1,11959 090300383
7,"109, 215, 234, 306, 331, 510, 515",1,18142 270 05883
6,"109, 215, 220, 306, 310, 510",1,11953 090400584
5,"109, 215, 220, 310, 331",1,20893 000 00000
6,"109, 215, 220, 310, 331, 510",1,20884 000 00000
5,"109, 215, 220, 310, 510",1,20883 000 00000
6,"109, 215, 225, 310, 331, 510",1,18740 114500600
9,"109, 215, 228, 234, 306, 310, 330, 510, 515",1,12019A10901 202
6,"109, 215, 228, 310, 330, 515",1,40001 000 00000
9,"110, 116, 155, 205, 215, 234, 311, 331, 510",1,04518 01WX00484
5,"110, 116, 155, 205, 330",1,00922A009 11488
8,"110, 116, 155, 215, 306, 330, 510, 515",1,07T24 000 00086
7,"110, 205, 215, 220, 311, 331, 510",1,08598 331 00202
9,"110, 205, 210, 215, 306, 330, 331, 510, 515",1,04981A005 08453
8,"110, 205, 210, 215, 306, 330, 510, 515",1,04979A005 08185
7,"110, 205, 210, 220, 330, 510, 515",1,19C386024900054
9,"110, 205, 215, 220, 234, 301, 311, 331, 510",1,08246N001 21039
9,"110, 205, 215, 220, 234, 310, 330, 510, 515",1,00778A052 04599
7,"110, 205, 215, 220, 234, 330, 510",1,08060 039 03038
7,"110, 205, 215, 220, 234, 331, 510",1,02504A074 00000
8,"110, 205, 215, 220, 330, 331, 510, 515",1,02533 01W 00937
10,"110, 205, 210, 215, 225, 306, 330, 331, 510, 515",1,01407A007 23866
7,"110, 205, 215, 220, 330, 510, 515",1,08592 520 01842
5,"110, 205, 215, 220, 331",1,08427 006F25675
6,"110, 205, 215, 228, 234, 331",1,11340A694 00075
9,"110, 205, 215, 234, 301, 306, 331, 510, 521",1,07292B006 28584
9,"110, 205, 215, 234, 301, 311, 330, 331, 515",1,08205R01WC00621
8,"110, 205, 215, 234, 301, 311, 330, 510",1,00745 039 02377
9,"110, 205, 215, 234, 302, 306, 311, 331, 510",1,00704 B52201803
8,"110, 205, 210, 215, 234, 306, 331, 510",1,02466 005 17496
8,"110, 205, 210, 215, 220, 306, 330, 510",1,02236A005 08092
9,"110, 144, 155, 205, 210, 215, 220, 306, 331",1,19C513 386  040
7,"110, 155, 205, 215, 330, 331, 510",1,07442 001 25032
8,"110, 152, 205, 215, 228, 234, 330, 510",1,07417 02W 08252
