node,selected_hi,confidence
194,substructure,0.9883643388748169
195,bearings,0.9628685712814331
196,bearings,0.8480698466300964
197,bearings,0.9538835883140564
198,substructure,0.9541873931884766
199,substructure,0.9999998807907104
200,substructure,0.9997817873954773
201,substructure,0.9839293956756592
202,substructure,0.6495041847229004
203,substructure,0.9999786615371704
204,bearings,0.8268500566482544
205,bearings,0.7025344967842102
206,bearings,0.67990642786026
207,superstructure,0.7453708648681641
208,bearings,0.7742688059806824
209,bearings,0.9991697072982788
210,substructure,0.9955857992172241
211,bearings,0.6734322905540466
212,substructure,0.9972829818725586
213,bearings,0.7162039279937744
214,substructure,0.9795417189598083
215,bearings,0.9269070625305176
216,substructure,0.9998700618743896
217,substructure,0.8998498320579529
218,bearings,0.7881403565406799
219,bearings,0.9166263937950134
220,bearings,0.7403079867362976
221,substructure,0.9846252202987671
222,substructure,0.9843148589134216
223,superstructure,0.9672233462333679
224,superstructure,0.7412217259407043
225,bearings,0.9967691898345947
226,bearings,0.7536371946334839
227,bearings,0.8582256436347961
228,substructure,0.9998695850372314
229,substructure,0.9968974590301514
230,substructure,0.8115599155426025
231,bearings,0.5852091312408447
232,substructure,0.9992064833641052
233,substructure,0.9642355442047119
234,substructure,0.9886043071746826
235,bearings,0.7161833047866821
236,superstructure,0.8333112597465515
237,bearings,0.6894947290420532
238,bearings,0.4826509654521942
239,bearings,0.7117611765861511
240,substructure,0.9999064207077026
241,bearings,0.6526575684547424
242,bearings,0.7864969372749329
243,bearings,0.7148648500442505
244,substructure,0.9762815237045288
245,bearings,0.7959866523742676
246,substructure,0.9554601907730103
247,bearings,0.8898407816886902
248,substructure,0.9951677322387695
249,substructure,0.987338662147522
250,substructure,0.89835125207901
251,bearings,0.7877293825149536
252,bearings,0.7080358266830444
253,bearings,0.5518819093704224
254,substructure,0.8719664812088013
