node,selected_hi,confidence
161,bearings,0.917915940284729
162,bearings,0.5375045537948608
163,substructure,0.9999992847442627
164,substructure,0.34042876958847046
165,bearings,0.7557529211044312
166,superstructure,0.4738149344921112
167,bearings,0.790327250957489
168,substructure,0.9993268251419067
169,bearings,0.9294854402542114
170,bearings,0.658816397190094
171,substructure,0.9732469320297241
172,bearings,0.7195034623146057
173,bearings,0.5733168125152588
174,bearings,0.6738650798797607
175,superstructure,0.509901225566864
176,bearings,0.9158533811569214
177,bearings,0.6721944212913513
178,substructure,0.996009111404419
179,bearings,0.6410452127456665
180,bearings,0.6594130992889404
181,bearings,0.6434402465820312
182,substructure,0.989870011806488
183,bearings,0.8779599666595459
184,bearings,0.6963911652565002
185,substructure,0.9925714135169983
186,substructure,0.9758539199829102
187,bearings,0.9184905290603638
188,deck,0.421817421913147
189,bearings,0.6402696967124939
190,bearings,0.4168837070465088
191,substructure,1.0
192,bearings,0.8837693929672241
193,substructure,0.9997933506965637
194,substructure,0.9947309494018555
195,bearings,0.9245598316192627
196,bearings,0.628253161907196
197,bearings,0.9663674831390381
198,substructure,0.9623415470123291
199,substructure,1.0
200,substructure,0.9996277093887329
201,substructure,0.9792657494544983
202,substructure,0.6822031140327454
203,substructure,0.9999643564224243
204,bearings,0.8141492605209351
205,bearings,0.7096884846687317
206,bearings,0.6211181282997131
207,deck,0.9619778990745544
208,bearings,0.5833562612533569
209,bearings,0.9779795408248901
210,substructure,0.9954158067703247
211,bearings,0.7266066670417786
212,substructure,0.9970375299453735
213,bearings,0.8403275012969971
214,substructure,0.9702885150909424
215,bearings,0.7806963920593262
216,substructure,0.999795138835907
217,substructure,0.6189135313034058
218,bearings,0.6314955949783325
219,bearings,0.6891753673553467
220,bearings,0.4731355309486389
221,substructure,0.986641526222229
222,substructure,0.9824693202972412
223,bearings,0.7716842293739319
224,bearings,0.6270002722740173
225,bearings,0.8335373997688293
226,bearings,0.7804743647575378
227,bearings,0.8170272707939148
228,substructure,0.9998146891593933
229,substructure,0.9969948530197144
230,substructure,0.5241621732711792
231,bearings,0.9037542343139648
232,substructure,0.9987743496894836
233,substructure,0.9760326147079468
234,substructure,0.987058699131012
235,bearings,0.8328071236610413
236,bearings,0.7645700573921204
237,bearings,0.6355736255645752
238,bearings,0.44596976041793823
239,bearings,0.6396576762199402
240,substructure,0.9998050332069397
241,bearings,0.6626959443092346
242,bearings,0.6771745681762695
243,bearings,0.5905523896217346
244,substructure,0.9743859767913818
245,bearings,0.689029335975647
246,substructure,0.9536060094833374
247,bearings,0.6784886121749878
248,substructure,0.9933451414108276
249,substructure,0.9853335022926331
250,substructure,0.9209497570991516
251,bearings,0.6305782794952393
252,bearings,0.6595407128334045
253,bearings,0.514529824256897
254,substructure,0.8594793677330017
