"structure_number","year0","year1","deck0","deck1"
"08437 001 29655",1992,1993,"7","7"
"08470R002C02210",1992,1993,"7","7"
"06767 026 00099",1992,1993,"7","7"
"13531 064 01912",1992,1993,"7","7"
"13533 064 01862",1992,1993,"7","7"
"13537 064 01811",1992,1993,"7","7"
"06767A026 00098",1992,1993,"8","8"
"13538 064 01780",1992,1993,"8","8"
"13538A064 01780",1992,1993,"7","6"
"13540 064 01743",1992,1993,"8","8"
"07036 002C00132",1992,1993,"7","7"
"07040 01EX00020",1992,1993,"7","7"
"07043A002 01008",1992,1993,"7","7"
"16055A064 02433",1992,1993,"7","7"
"02682 002 03360",1992,1993,"N","N"
"08322 01W 00526",1992,1993,"7","7"
"08328 001 30038",1992,1993,"7","7"
"09268 061 00310",1992,1993,"7","7"
"09268A02W 00121",1992,1993,"7","7"
"09268B02W 00117",1992,1993,"7","7"
"09268N061 00284",1992,1993,"7","7"
"09268S061 00284",1992,1993,"7","7"
"09268W061 00284",1992,1993,"7","7"
"00823 125 01601",1992,1993,"6","6"
"08782A001 30265",1992,1993,"7","7"
"02350A01EX00020",1992,1993,"6","6"
"13528 064 01962",1992,1993,"7","7"
"02237A01E 00262",1992,1993,"7","7"
"07044A002 01143",1992,1993,"7","7"
"02097 01E 00159",1992,1993,"7","7"
"09711 064 01680",1992,1993,"8","8"
"07031A068 00225",1992,1993,"8","8"
"04543 125 02221",1992,1993,"6","6"
"13507 064 02475",1993,1994,"7","7"
"02350A01EX00020",1993,1994,"6","6"
"02682 002 03360",1993,1994,"N","N"
"09284 061 00202",1993,1994,"8","8"
"02733B01WX00052",1993,1994,"7","7"
"02733C01WX00014",1993,1994,"7","7"
"H8588A002 00002",1993,1994,"7","7"
"N8588E001 30170",1993,1994,"7","7"
"N8958A001 30299",1993,1994,"7","7"
"09157 061C00100",1993,1994,"6","6"
"09159 061C00078",1993,1994,"7","7"
"09160 061 00109",1993,1994,"7","7"
"09161 061 00118",1993,1994,"8","8"
"13507A064 02475",1993,1994,"7","7"
"13507B064C02479",1993,1994,"7","7"
"13514B002C00672",1993,1994,"7","7"
"13514C064 02271",1993,1994,"N","N"
"13514D002C00664",1993,1994,"N","N"
"13514E002C00676",1993,1994,"7","7"
"13514F002 00694",1993,1994,"8","8"
"13514H002 00660",1993,1994,"N","N"
"13514I064 02224",1993,1994,"N","N"
"13514L002 00683",1993,1994,"8","8"
"13516 002 00582",1993,1994,"7","7"
"13516A064 02159",1993,1994,"7","7"
"13516C064C02151",1993,1994,"8","8"
"16553 002C00280",1993,1994,"8","7"
"08588D001 30150",1993,1994,"7","7"
"R2163A002 00659",1993,1994,"7","7"
"R7025B002C00202",1993,1994,"7","7"
"R7026A059 00182",1993,1994,"7","7"
"R7040A01EX00022",1993,1994,"7","7"
"R8588E001 30150",1993,1994,"7","7"
"13516D064C02159",1993,1994,"8","8"
"09316A001 30670",1993,1994,"7","7"
"08574 001 30243",1993,1994,"7","7"
"08575 001 30229",1993,1994,"7","7"
"08575Q001 30233",1993,1994,"7","7"
"08575R001 30235",1993,1994,"7","7"
"08583 001 30199",1993,1994,"7","7"
"08588A002 00024",1993,1994,"7","7"
"08588B002 00002",1993,1994,"7","7"
"08588C002 00020",1993,1994,"7","6"
"08782A001 30265",1993,1994,"7","7"
"06945A002 01782",1993,1994,"8","8"
"07758C01W 00740",1993,1994,"7","7"
"13516F064C02138",1993,1994,"8","8"
"13516G064C02119",1993,1994,"7","7"
"13520 064 02112",1993,1994,"8","8"
"13521 064 02087",1993,1994,"7","7"
"13522 064 02062",1993,1994,"8","8"
"13523 064 02057",1993,1994,"8","8"
"13527 064 02005",1993,1994,"8","8"
"13528 064 01962",1993,1994,"7","7"
"13531 064 01912",1993,1994,"7","7"
"13533 064 01862",1993,1994,"7","7"
"13537 064 01811",1993,1994,"7","7"
"13538 064 01780",1993,1994,"8","8"
"13538A064 01780",1993,1994,"6","6"
"S8588E001 30170",1993,1994,"8","8"
"06895 01W 00167",1993,1994,"6","6"
"06895R026 00002",1993,1994,"6","7"
"08590Y001C30068",1993,1994,"7","7"
"08591A061C00109",1993,1994,"7","7"
"08591B001C30046",1993,1994,"7","7"
"08591C001 30010",1993,1994,"7","7"
"08591D001 30012",1993,1994,"7","7"
"01994 068 00224",1993,1994,"7","7"
"08958 061 00358",1993,1994,"7","7"
"08958B061 00372",1993,1994,"7","7"
"08958D061 00352",1993,1994,"7","7"
"07032A002 00355",1993,1994,"N","N"
"06671 002 02809",1993,1994,"6","6"
"02529 061 00332",1993,1994,"7","7"
"02565 002 02433",1993,1994,"N","N"
"09268E02W 00146",1993,1994,"7","7"
"09268N061 00284",1993,1994,"7","8"
"09268S061 00284",1993,1994,"7","7"
"09268W061 00284",1993,1994,"7","7"
"08591E061 00053",1993,1994,"7","7"
"09276 061 00245",1993,1994,"7","8"
"09277 061 00235",1993,1994,"7","8"
"09278 061 00225",1993,1994,"7","8"
"09279 061 00233",1993,1994,"N","N"
"09280 061 00233",1993,1994,"7","8"
"09281 061 00220",1993,1994,"7","7"
"09282 061 00214",1993,1994,"7","7"
"09282A061 00212",1993,1994,"7","7"
"09283 061 00207",1993,1994,"7","7"
"06896 01W 00161",1993,1994,"6","6"
"06924 002 04027",1993,1994,"7","8"
"02019 125 00185",1993,1994,"6","6"
"08589A001 30150",1993,1994,"7","7"
"08589B001 30150",1993,1994,"7","7"
"08589C001 30150",1993,1994,"7","6"
"08589D001 30150",1993,1994,"7","7"
"08590C001 30069",1993,1994,"7","7"
"08590D001 30068",1993,1994,"7","7"
"09012 001 30388",1993,1994,"8","8"
"09666 123 01115",1993,1994,"8","8"
"09667 064 02327",1993,1994,"8","8"
"S8958A001 30299",1993,1994,"7","7"
"06686C01WX00550",1993,1994,"7","7"
"06945 002 01782",1993,1994,"8","8"
"08470 002C02211",1993,1994,"8","8"
"09059 123 01243",1993,1994,"7","7"
"08882 001 30592",1993,1994,"7","7"
"08883 001 30622",1993,1994,"7","7"
"01983 01W 00325",1993,1994,"6","6"
"01984 01W 00350",1993,1994,"7","7"
"07999 068 00226",1993,1994,"7","7"
"07999C068 00243",1993,1994,"8","8"
"16358 001C30298",1993,1994,"7","7"
"07297 01EX00487",1993,1994,"8","8"
"07298 01EX00446",1993,1994,"7","7"
"07981A002 00182",1993,1994,"7","7"
"08692 002 03712",1993,1994,"8","8"
"08573 001 30253",1993,1994,"7","7"
"09711 064 01680",1993,1994,"8","8"
"09711A064 01680",1993,1994,"8","8"
"06497 123 00091",1993,1994,"6","6"
"06498 123 00027",1993,1994,"7","7"
"05054 026 00077",1993,1994,"7","7"
"02014A02W 01123",1993,1994,"N","N"
"08198 001 29755",1993,1994,"7","7"
"08201 001 29646",1993,1994,"7","7"
"08202 001 29634",1993,1994,"8","8"
"08203B001 29604",1993,1994,"7","7"
"08205 01W 00622",1993,1994,"7","7"
"08205R01WC00621",1993,1994,"7","7"
"02063 002 04155",1993,1994,"7","7"
"02063A002C04157",1993,1994,"8","6"
"08037 002C02503",1993,1994,"8","8"
"16055 064 02434",1993,1994,"7","7"
"16055A064 02433",1993,1994,"7","7"
"08193 061C00052",1993,1994,"7","7"
"08194 003 00009",1993,1994,"6","6"
"08194R003 00010",1993,1994,"7","7"
"02010 01W 00486",1993,1994,"6","7"
"07031A068 00225",1993,1994,"8","8"
"08195 001 29923",1993,1994,"7","7"
"08196 001 29883",1993,1994,"7","7"
"02062A002 04014",1993,1994,"7","7"
"02062B002 04014",1993,1994,"7","8"
"06671A002 02809",1993,1994,"8","8"
"06683A01WX00031",1993,1994,"7","7"
"08437 001 29655",1993,1994,"7","7"
"07036 002C00132",1993,1994,"7","7"
"07040 01EX00020",1993,1994,"7","7"
"07043A002 01008",1993,1994,"7","7"
"07044A002 01143",1993,1994,"7","7"
"09254H061C00118",1993,1994,"N","N"
"09268 061 00310",1993,1994,"7","7"
"09268A02W 00121",1993,1994,"7","7"
"05290 01EX00386",1993,1994,"6","6"
"08322 01W 00526",1993,1994,"7","7"
"08328 001 30038",1993,1994,"7","7"
"17107 001C30731",1993,1994,"8","8"
"17108 001C30734",1993,1994,"8","8"
"08995C01EX00592",1993,1994,"6","6"
"08996 123 00533",1993,1994,"8","8"
"08997 001 30493",1993,1994,"8","8"
"09000 001 30468",1993,1994,"8","8"
"09002 001 30443",1993,1994,"7","7"
"09007 001 30418",1993,1994,"8","8"
"09011 001 30398",1993,1994,"8","8"
"02237A01E 00262",1993,1994,"7","7"
"08470R002C02210",1993,1994,"7","8"
"09377 002 04196",1993,1994,"7","7"
"09382 002 04131",1993,1994,"7","7"
"08591F061 00048",1993,1994,"7","7"
"01185A003 00400",1993,1994,"7","7"
"N8588E001 30170",1992,1993,"6","7"
"N8958A001 30299",1992,1993,"7","7"
"07088A002 01213",1993,1994,"7","7"
"00840 125 01950",1993,1994,"7","6"
"00841 125 02003",1993,1994,"6","6"
"07108A125 02193",1993,1994,"7","7"
"07400A01EX00575",1993,1994,"8","8"
"07333 001 30838",1993,1994,"7","7"
"02193B002 03783",1993,1994,"7","7"
"02194A002 03898",1993,1994,"7","6"
"R2163A002 00659",1992,1993,"7","7"
"16302 064 01982",1993,1994,"N","N"
"R7025B002C00202",1992,1993,"7","7"
"16506 001C30686",1993,1994,"7","7"
"16509 02W 00184",1993,1994,"7","7"
"16510 02W 00174",1993,1994,"7","7"
"16511 02WC00170",1993,1994,"7","7"
"16526 001 30759",1993,1994,"7","7"
"16534 001C30322",1993,1994,"7","7"
"16535 001C30309",1993,1994,"7","7"
"04516A001 30793",1993,1994,"6","6"
"04517 01WX00511",1993,1994,"6","6"
"04518 01WX00484",1993,1994,"7","7"
"04527 125 01376",1993,1994,"7","7"
"01377A001 30838",1993,1994,"7","6"
"01377C01EX00441",1993,1994,"7","7"
"09156 061C00060",1993,1994,"6","6"
"02097 01E 00159",1993,1994,"7","7"
"02163A002 00673",1993,1994,"6","6"
"04528 125 01498",1993,1994,"7","7"
"04534 125 01972",1993,1994,"8","8"
"04543 125 02221",1993,1994,"6","6"
"04566B068 00710",1993,1994,"8","8"
"08401B068C00037",1993,1994,"7","7"
"08402 123 01041",1993,1994,"7","7"
"09015A001 30686",1993,1994,"N","N"
"09249 061C00113",1993,1994,"7","7"
"09249T061 00197",1993,1994,"7","7"
"09250 061 00192",1993,1994,"7","7"
"09251 061C00189",1993,1994,"7","7"
"09252 061 00177",1993,1994,"6","6"
"09253 061 00172",1993,1994,"6","6"
"09254A061C00209",1993,1994,"N","N"
"09254B061 00165",1993,1994,"N","N"
"09254C047 07397",1993,1994,"6","6"
"09254D047 07394",1993,1994,"6","6"
"09254E061C00157",1993,1994,"7","7"
"09254F061C00152",1993,1994,"8","8"
"09155 061 00088",1993,1994,"6","7"
"09268B02W 00117",1993,1994,"7","7"
"05194 01W 00141",1993,1994,"6","6"
"05194R026 00002",1993,1994,"7","7"
"05195A01W 00193",1993,1994,"7","7"
"05195B01W 00198",1993,1994,"N","N"
"13540 064 01743",1993,1994,"8","7"
"13540A064 01743",1993,1994,"8","8"
"13541 064 01722",1993,1994,"7","8"
"13541A064 01722",1993,1994,"8","8"
"09555 064 02632",1993,1994,"7","7"
"02176 002 03512",1993,1994,"7","7"
"02176A002 03512",1993,1994,"7","7"
"16188 064 02525",1993,1994,"7","7"
"08958E001C30306",1993,1994,"7","7"
"08958F061 00352",1993,1994,"7","7"
"08958G061 00352",1993,1994,"7","7"
"08958H061 00388",1993,1994,"7","6"
"08958I061 00388",1993,1994,"6","6"
"09392 047 07370",1993,1994,"N","N"
"09153 01W 00129",1993,1994,"7","7"
"09153R026 00002",1993,1994,"7","7"
"09154 061 00071",1993,1994,"6","7"
"01726 120 00038",1993,1994,"6","7"
"01740 02W 01319",1993,1994,"8","8"
"00823 125 01601",1993,1994,"6","6"
"09254G061C00114",1993,1994,"7","8"
"06767 026 00099",1993,1994,"7","7"
"06767A026 00098",1993,1994,"8","7"
"H8588A002 00002",1994,1995,"7","7"
"N8588E001 30170",1994,1995,"7","7"
"N8958A001 30299",1994,1995,"7","7"
"09666 123 01115",1994,1995,"8","8"
"09667 064 02327",1994,1995,"8","8"
"02097 01E 00159",1994,1995,"7","8"
"16302 064 01982",1994,1995,"N","N"
"09156 061C00060",1994,1995,"6","6"
"09157 061C00100",1994,1995,"6","6"
"09159 061C00078",1994,1995,"7","7"
"08437 001 29655",1994,1995,"7","7"
"07333 001 30838",1994,1995,"7","7"
"02014A02W 01123",1994,1995,"N","N"
"02019 125 00185",1994,1995,"6","6"
"02350A01EX00020",1994,1995,"6","8"
"07400A01EX00575",1994,1995,"8","8"
"07758C01W 00740",1992,1993,"7","7"
"02010 01W 00486",1994,1995,"7","7"
"08322 01W 00526",1994,1995,"7","7"
"08401B068C00037",1994,1995,"7","7"
"08402 123 01041",1994,1995,"7","7"
"02733B01WX00052",1994,1995,"7","7"
"02733C01WX00014",1994,1995,"7","7"
"R7026A059 00182",1992,1993,"7","7"
"08037 002C02503",1994,1995,"8","8"
"00840 125 01950",1994,1995,"6","6"
"00841 125 02003",1994,1995,"6","6"
"16358 001C30298",1994,1995,"7","7"
"06497 123 00091",1994,1995,"6","6"
"06498 123 00027",1994,1995,"7","7"
"09268W061 00284",1994,1995,"7","7"
"09276 061 00245",1994,1995,"8","8"
"09277 061 00235",1994,1995,"8","8"
"09278 061 00225",1994,1995,"8","8"
"09279 061 00233",1994,1995,"N","N"
"09280 061 00233",1994,1995,"8","8"
"09281 061 00220",1994,1995,"7","7"
"09282 061 00214",1994,1995,"7","7"
"09282A061 00212",1994,1995,"7","7"
"09283 061 00207",1994,1995,"7","7"
"09284 061 00202",1994,1995,"8","8"
"07031A068 00225",1994,1995,"8","8"
"07032A002 00355",1994,1995,"N","N"
"07036 002C00132",1994,1995,"7","7"
"07040 01EX00020",1994,1995,"7","8"
"02641A02W 01077",1994,1995,"8","8"
"08995C01EX00592",1994,1995,"6","6"
"08996 123 00533",1994,1995,"8","8"
"08997 001 30493",1994,1995,"8","8"
"09007 001 30418",1994,1995,"8","8"
"09011 001 30398",1994,1995,"8","8"
"09012 001 30388",1994,1995,"8","8"
"09015A001 30686",1994,1995,"N","N"
"05195A01W 00193",1994,1995,"7","7"
"05195B01W 00198",1994,1995,"N","N"
"07758C01W 00740",1994,1995,"7","7"
"06896 01W 00161",1994,1995,"6","6"
"06924 002 04027",1994,1995,"8","8"
"06945 002 01782",1994,1995,"8","8"
"06671 002 02809",1994,1995,"6","6"
"06671A002 02809",1994,1995,"8","8"
"13514L002 00683",1994,1995,"8","8"
"08198 001 29755",1994,1995,"7","7"
"08201 001 29646",1994,1995,"7","7"
"07297 01EX00487",1994,1995,"8","7"
"07298 01EX00446",1994,1995,"7","7"
"07981A002 00182",1994,1995,"7","7"
"02163A002 00673",1994,1995,"6","6"
"16506 001C30686",1994,1995,"7","7"
"16509 02W 00184",1994,1995,"7","7"
"16510 02W 00174",1994,1995,"7","7"
"16511 02WC00170",1994,1995,"7","7"
"07999 068 00226",1994,1995,"7","7"
"02176 002 03512",1994,1995,"7","7"
"02176A002 03512",1994,1995,"7","7"
"07999C068 00243",1994,1995,"8","8"
"07498A002 01339",1994,1995,"8","8"
"08196 001 29883",1994,1995,"7","7"
"09249 061C00113",1994,1995,"7","7"
"09249T061 00197",1994,1995,"7","7"
"09250 061 00192",1994,1995,"7","7"
"09251 061C00189",1994,1995,"7","7"
"09252 061 00177",1994,1995,"6","6"
"09253 061 00172",1994,1995,"6","6"
"09254A061C00209",1994,1995,"N","N"
"09254B061 00165",1994,1995,"N","N"
"09377 002 04196",1994,1995,"7","7"
"01185A003 00400",1994,1995,"7","7"
"09382 002 04131",1994,1995,"7","7"
"09392 047 07370",1994,1995,"N","N"
"09555 064 02632",1994,1995,"7","7"
"02193B002 03783",1994,1995,"7","7"
"02194A002 03898",1994,1995,"6","6"
"08573 001 30253",1994,1995,"7","7"
"08328 001 30038",1994,1995,"7","7"
"08202 001 29634",1994,1995,"8","8"
"08203B001 29604",1994,1995,"7","7"
"08205 01W 00622",1994,1995,"7","7"
"08205R01WC00621",1994,1995,"7","7"
"13514I064 02224",1994,1995,"N","N"
"08882 001 30592",1994,1995,"7","7"
"16188 064 02525",1994,1995,"7","7"
"08883 001 30622",1994,1995,"7","7"
"06945A002 01782",1994,1995,"8","8"
"13507 064 02475",1994,1995,"7","7"
"13507A064 02475",1994,1995,"7","7"
"13507B064C02479",1994,1995,"7","7"
"13514B002C00672",1994,1995,"7","7"
"13514C064 02271",1994,1995,"N","N"
"06683A01WX00031",1994,1995,"7","8"
"06686C01WX00550",1994,1995,"7","7"
"09160 061 00109",1994,1995,"7","7"
"09161 061 00118",1994,1995,"8","8"
"02237A01E 00262",1994,1995,"7","6"
"02062A002 04014",1994,1995,"7","7"
"02062B002 04014",1994,1995,"8","8"
"02063 002 04155",1994,1995,"7","7"
"02063A002C04157",1994,1995,"6","6"
"09254E061C00157",1994,1995,"7","7"
"09254F061C00152",1994,1995,"8","8"
"09254G061C00114",1994,1995,"8","8"
"09254H061C00118",1994,1995,"N","N"
"09268 061 00310",1994,1995,"7","7"
"09268A02W 00121",1994,1995,"7","7"
"09268B02W 00117",1994,1995,"7","7"
"09268E02W 00146",1994,1995,"7","7"
"09268N061 00284",1994,1995,"8","8"
"09268S061 00284",1994,1995,"7","7"
"13516 002 00582",1994,1995,"7","7"
"13516A064 02159",1994,1995,"7","7"
"13516C064C02151",1994,1995,"8","8"
"13516D064C02159",1994,1995,"8","8"
"07043A002 01008",1994,1995,"7","7"
"07044A002 01143",1994,1995,"7","7"
"13516F064C02138",1994,1995,"8","8"
"13516G064C02119",1994,1995,"7","7"
"13520 064 02112",1994,1995,"8","8"
"06767 026 00099",1994,1995,"7","7"
"13521 064 02087",1994,1995,"7","7"
"13522 064 02062",1994,1995,"8","8"
"13523 064 02057",1994,1995,"8","8"
"13527 064 02005",1994,1995,"8","8"
"07088A002 01213",1994,1995,"7","7"
"07089A002 01303",1994,1995,"7","7"
"02682 002 03360",1994,1995,"N","N"
"08692 002 03712",1994,1995,"8","8"
"08589B001 30150",1994,1995,"7","7"
"08589C001 30150",1994,1995,"6","6"
"08589D001 30150",1994,1995,"7","7"
"08575Q001 30233",1994,1995,"7","7"
"08575R001 30235",1994,1995,"7","7"
"08583 001 30199",1994,1995,"7","7"
"08958I061 00388",1994,1995,"6","7"
"08588A002 00024",1994,1995,"7","7"
"08588B002 00002",1994,1995,"7","7"
"08588C002 00020",1994,1995,"6","6"
"08588D001 30150",1994,1995,"7","7"
"08470 002C02211",1994,1995,"8","8"
"08470R002C02210",1994,1995,"8","8"
"08589A001 30150",1994,1995,"7","7"
"16553 002C00280",1994,1995,"7","7"
"06767A026 00098",1994,1995,"7","7"
"08958E001C30306",1994,1995,"7","7"
"08958F061 00352",1994,1995,"7","7"
"08958G061 00352",1994,1995,"7","7"
"08958H061 00388",1994,1995,"6","6"
"08574 001 30243",1994,1995,"7","7"
"08575 001 30229",1994,1995,"7","7"
"09316A001 30670",1994,1995,"7","7"
"16055 064 02434",1994,1995,"7","7"
"16055A064 02433",1994,1995,"7","7"
"08591A061C00109",1994,1995,"7","7"
"00823 125 01601",1994,1995,"6","6"
"08591B001C30046",1994,1995,"7","7"
"08591C001 30010",1994,1995,"7","7"
"08591D001 30012",1994,1995,"7","7"
"08591E061 00053",1994,1995,"7","7"
"08591F061 00048",1994,1995,"7","7"
"13514D002C00664",1994,1995,"N","N"
"13514E002C00676",1994,1995,"7","7"
"13514F002 00694",1994,1995,"8","8"
"13514H002 00660",1994,1995,"N","N"
"01984 01W 00350",1994,1995,"7","7"
"05194 01W 00141",1992,1993,"6","6"
"01994 068 00224",1994,1995,"7","7"
"13528 064 01962",1994,1995,"7","7"
"04534 125 01972",1994,1995,"8","8"
"04543 125 02221",1994,1995,"6","6"
"04566B068 00710",1994,1995,"8","8"
"05290 01EX00386",1994,1995,"6","6"
"02529 061 00332",1994,1995,"7","7"
"08782A001 30265",1994,1995,"7","7"
"16526 001 30759",1994,1995,"7","7"
"16534 001C30322",1994,1995,"7","7"
"16535 001C30309",1994,1995,"7","7"
"13531 064 01912",1994,1995,"7","7"
"13533 064 01862",1994,1995,"7","7"
"13537 064 01811",1994,1995,"7","7"
"13538 064 01780",1994,1995,"8","8"
"13538A064 01780",1994,1995,"6","6"
"13540 064 01743",1994,1995,"7","7"
"04516A001 30793",1994,1995,"6","6"
"04517 01WX00511",1994,1995,"6","6"
"04518 01WX00484",1994,1995,"7","7"
"04527 125 01376",1994,1995,"7","7"
"04528 125 01498",1994,1995,"7","7"
"01983 01W 00325",1994,1995,"6","6"
"08193 061C00052",1994,1995,"7","7"
"09254C047 07397",1994,1995,"6","6"
"09254D047 07394",1994,1995,"6","6"
"05054 026 00077",1994,1995,"7","7"
"05194 01W 00141",1994,1995,"6","6"
"05194R026 00002",1994,1995,"7","7"
"09711 064 01680",1994,1995,"8","8"
"09711A064 01680",1994,1995,"8","8"
"08590C001 30069",1994,1995,"7","8"
"08590D001 30068",1994,1995,"7","8"
"08590Y001C30068",1994,1995,"7","7"
"02565 002 02433",1994,1995,"N","N"
"00840 125 01950",1995,1996,"6","6"
"08958 061 00358",1994,1995,"7","7"
"08958B061 00372",1994,1995,"7","7"
"08958D061 00352",1994,1995,"7","7"
"R2163A002 00659",1994,1995,"7","7"
"R7025B002C00202",1994,1995,"7","7"
"13540A064 01743",1994,1995,"8","8"
"13541 064 01722",1994,1995,"8","8"
"13541A064 01722",1994,1995,"8","8"
"01377A001 30838",1994,1995,"6","6"
"01377C01EX00441",1994,1995,"7","7"
"09000 001 30468",1994,1995,"8","8"
"09002 001 30443",1994,1995,"7","7"
"01740 02W 01319",1994,1995,"8","8"
"08194 003 00009",1994,1995,"6","6"
"08194R003 00010",1994,1995,"7","7"
"08195 001 29923",1994,1995,"7","7"
"01726 120 00038",1994,1995,"7","7"
"17107 001C30731",1994,1995,"8","8"
"17108 001C30734",1994,1995,"8","8"
"09153 01W 00129",1994,1995,"7","7"
"09153R026 00002",1994,1995,"7","7"
"09154 061 00071",1994,1995,"7","7"
"09155 061 00088",1994,1995,"7","7"
"09059 123 01243",1994,1995,"7","7"
"07108A125 02193",1994,1995,"7","7"
"R7040A01EX00022",1994,1995,"7","7"
"R8588E001 30150",1994,1995,"7","7"
"S8588E001 30170",1994,1995,"8","8"
"S8958A001 30299",1994,1995,"7","7"
"06895R026 00002",1994,1995,"7","7"
"07036 002C00132",1995,1996,"7","7"
"07297 01EX00487",1995,1996,"7","7"
"08437 001 29655",1995,1996,"7","7"
"05194 01W 00141",1995,1996,"6","7"
"05194R026 00002",1995,1996,"7","7"
"05195A01W 00193",1995,1996,"7","7"
"05195B01W 00198",1995,1996,"N","N"
"00841 125 02003",1995,1996,"6","6"
"13520 064 02112",1995,1996,"8","8"
"13521 064 02087",1995,1996,"7","7"
"13522 064 02062",1995,1996,"8","8"
"13523 064 02057",1995,1996,"8","8"
"13527 064 02005",1995,1996,"8","8"
"13528 064 01962",1995,1996,"7","7"
"07298 01EX00446",1995,1996,"7","7"
"16358 001C30298",1995,1996,"7","7"
"R7026A059 00182",1994,1995,"7","7"
"06895 01W 00167",1994,1995,"6","6"
"09555 064 02632",1995,1996,"7","7"
"H8588A002 00002",1995,1996,"7","7"
"N8588E001 30170",1995,1996,"7","7"
"N8958A001 30299",1995,1996,"7","7"
"R2163A002 00659",1995,1996,"7","7"
"R7025B002C00202",1995,1996,"7","7"
"R7026A059 00182",1995,1996,"7","7"
"R7040A01EX00022",1995,1996,"7","7"
"R8588E001 30150",1995,1996,"7","7"
"09316A001 30670",1995,1996,"7","7"
"09284 061 00202",1995,1996,"8","8"
"08401B068C00037",1995,1996,"7","7"
"08402 123 01041",1995,1996,"7","8"
"08589D001 30150",1995,1996,"7","7"
"00823 125 01601",1995,1996,"6","6"
"08590C001 30069",1995,1996,"8","8"
"08590D001 30068",1995,1996,"8","8"
"08590Y001C30068",1995,1996,"7","7"
"08591A061C00109",1995,1996,"7","7"
"13516G064C02119",1995,1996,"7","7"
"06497 123 00091",1995,1996,"6","6"
"13514L002 00683",1995,1996,"8","8"
"13516 002 00582",1995,1996,"7","7"
"13516A064 02159",1995,1996,"7","7"
"13516C064C02151",1995,1996,"8","8"
"13516D064C02159",1995,1996,"8","8"
"08995C01EX00592",1995,1996,"6","6"
"08996 123 00533",1995,1996,"8","8"
"08997 001 30493",1995,1996,"8","8"
"09000 001 30468",1995,1996,"8","8"
"09002 001 30443",1995,1996,"7","7"
"09007 001 30418",1995,1996,"8","8"
"08958 061 00358",1995,1996,"7","7"
"08958B061 00372",1995,1996,"7","7"
"08037 002C02503",1995,1996,"8","8"
"02733B01WX00052",1995,1996,"7","7"
"02733C01WX00014",1995,1996,"7","7"
"09268B02W 00117",1995,1996,"7","7"
"09268E02W 00146",1995,1996,"7","7"
"09268N061 00284",1995,1996,"8","8"
"13540A064 01743",1995,1996,"8","8"
"13541 064 01722",1995,1996,"8","8"
"13541A064 01722",1995,1996,"8","8"
"09011 001 30398",1995,1996,"8","8"
"09012 001 30388",1995,1996,"8","8"
"09015A001 30686",1995,1996,"N","N"
"05290 01EX00386",1995,1996,"6","6"
"13516F064C02138",1995,1996,"8","8"
"02682 002 03360",1995,1996,"N","N"
"08958D061 00352",1995,1996,"7","8"
"08958E001C30306",1995,1996,"7","7"
"07040 01EX00020",1995,1996,"8","8"
"07043A002 01008",1995,1996,"7","7"
"07044A002 01143",1995,1996,"7","7"
"09160 061 00109",1995,1996,"7","7"
"09161 061 00118",1995,1996,"8","8"
"16055 064 02434",1995,1996,"7","7"
"16055A064 02433",1995,1996,"7","7"
"09268 061 00310",1995,1996,"7","7"
"09268A02W 00121",1995,1996,"7","7"
"02529 061 00332",1995,1996,"7","7"
"04527 125 01376",1995,1996,"7","7"
"04528 125 01498",1995,1996,"7","7"
"04534 125 01972",1995,1996,"8","8"
"04543 125 02221",1995,1996,"6","6"
"04566B068 00710",1995,1996,"8","8"
"09392 047 07370",1995,1996,"N","N"
"16506 001C30686",1995,1996,"7","7"
"13538 064 01780",1995,1996,"8","8"
"07400A01EX00575",1995,1996,"8","8"
"02008A01E 00443",1995,1996,"8","8"
"02010 01W 00486",1995,1996,"7","7"
"02163A002 00673",1995,1996,"6","6"
"02014A02W 01123",1995,1996,"N","N"
"13514H002 00660",1995,1996,"N","N"
"13538A064 01780",1995,1996,"6","6"
"13540 064 01743",1995,1996,"7","7"
"16509 02W 00184",1995,1996,"7","7"
"02097 01E 00159",1995,1996,"8","8"
"13514I064 02224",1995,1996,"N","N"
"08322 01W 00526",1995,1996,"7","7"
"13514B002C00672",1995,1996,"7","7"
"13514C064 02271",1995,1996,"N","N"
"09711 064 01680",1995,1996,"8","8"
"09711A064 01680",1995,1996,"8","8"
"07999 068 00226",1995,1996,"7","7"
"07999C068 00243",1995,1996,"8","8"
"02062A002 04014",1995,1996,"7","7"
"02062B002 04014",1995,1996,"8","8"
"02063 002 04155",1995,1996,"7","7"
"02063A002C04157",1995,1996,"6","7"
"02641A02W 01077",1995,1996,"8","8"
"17107 001C30731",1995,1996,"8","8"
"17108 001C30734",1995,1996,"8","8"
"17124 000000000",1995,1996,"8","8"
"08958F061 00352",1995,1996,"7","7"
"08958G061 00352",1995,1996,"7","7"
"08958H061 00388",1995,1996,"6","7"
"01185A003 00400",1995,1996,"7","7"
"09377 002 04196",1995,1996,"7","7"
"16302 064 01982",1992,1993,"N","N"
"08958I061 00388",1995,1996,"7","7"
"02350A01EX00020",1995,1996,"8","8"
"13537 064 01811",1995,1996,"7","7"
"16511 02WC00170",1995,1996,"7","7"
"09666 123 01115",1995,1996,"8","8"
"09667 064 02327",1995,1996,"8","8"
"16526 001 30759",1995,1996,"7","7"
